time,average_temp,target_temp,motor_speed,heater_state
2001,39.29,0.00,255,0
4002,39.43,0.00,255,0
6003,38.42,0.00,255,0
8004,37.64,20.68,255,0
10005,37.04,21.56,255,0
12006,36.75,22.44,255,0
14007,36.43,23.31,255,0
16008,36.07,24.19,255,0
18009,35.96,25.06,255,0
20011,35.82,25.94,255,0
22012,35.79,26.81,255,0
24013,35.63,27.69,255,0
26014,35.54,28.56,255,0
28015,35.57,29.44,255,0
30016,35.42,30.31,255,0
32017,35.25,31.19,255,0
34018,35.13,32.07,255,0
36019,34.89,32.94,255,0
38020,34.89,33.82,255,0
40022,35.08,34.69,255,0
42023,35.75,35.57,255,0
44024,38.89,36.44,255,0
46025,38.63,37.32,255,0
48026,38.39,38.19,255,0
50027,41.32,39.07,255,0
52028,40.46,39.94,255,0
54029,41.46,40.82,255,0
56030,41.50,41.70,255,1
58031,45.25,42.57,255,0
60032,45.57,43.45,255,0
62033,44.25,44.32,255,0
64034,50.11,45.20,255,0
66035,47.64,46.07,255,1
68036,47.25,46.95,255,0
70037,48.96,47.82,255,0
72038,52.43,48.70,255,0
74039,49.33,49.58,255,1
76040,55.11,50.45,255,0
78041,52.57,51.33,255,1
80043,55.17,52.20,255,0
82044,54.57,53.08,255,1
84045,55.71,53.95,255,0
86046,57.33,54.83,255,0
88047,56.57,55.70,255,0
90048,57.50,56.58,255,0
92049,58.39,57.45,255,0
94050,58.75,58.33,255,0
96051,62.46,59.21,255,0
98052,60.82,60.08,255,0
100054,65.43,60.96,255,0
102055,61.38,61.83,255,0
104056,67.82,62.71,255,0
106057,64.00,63.58,255,1
108058,68.00,64.46,255,0
110059,66.54,65.33,255,1
112060,69.43,66.21,255,0
114061,69.08,67.08,255,1
116062,68.68,67.96,255,0
118063,69.71,68.84,255,1
120064,71.11,69.71,255,0
122065,70.61,70.59,255,0
124066,73.92,71.46,255,0
126067,72.86,72.34,255,0
128068,74.36,73.21,255,1
130069,76.29,74.09,255,0
132070,74.86,74.96,255,1
134071,79.50,75.84,255,0
136072,77.54,76.71,255,1
138073,80.61,77.59,255,0
140075,79.64,78.46,255,1
142076,80.71,79.34,255,0
144077,81.04,80.22,255,1
146078,84.04,81.09,255,0
148079,83.18,81.97,255,1
150080,84.46,82.84,255,0
152081,84.67,83.72,255,1
154082,85.93,84.59,255,0
156083,87.61,85.47,255,1
158084,87.87,86.34,255,0
160086,92.57,87.22,255,0
162087,87.32,88.10,255,0
164088,90.12,88.97,255,1
166089,90.54,89.85,255,0
168090,88.46,90.72,255,1
170091,97.37,91.60,255,0
172092,93.04,92.47,255,1
174093,94.21,93.35,255,0
176094,93.79,94.22,255,1
178095,97.68,95.10,255,0
180096,96.67,95.97,255,1
182097,97.61,96.85,255,0
184098,95.43,97.73,255,1
186099,102.79,98.60,255,0
188100,99.07,99.48,255,1
190101,102.86,100.35,255,0
192102,102.12,101.23,255,1
194103,101.54,102.10,255,0
196104,105.96,102.98,255,1
198105,100.46,103.85,255,0
200107,107.25,104.73,255,0
202108,103.33,105.60,255,0
204109,108.21,106.48,255,1
206110,105.64,107.36,255,0
208111,111.21,108.23,255,0
210112,106.36,109.11,255,1
212113,114.43,109.98,255,0
214114,108.83,110.86,255,1
216115,112.57,111.73,255,1
218116,111.54,112.61,255,0
220118,116.25,113.48,255,1
222119,112.32,114.36,255,0
224120,119.25,115.23,255,0
226121,112.25,116.11,255,1
228122,120.11,116.99,255,0
230123,115.92,117.86,255,1
232124,119.93,118.74,255,0
234125,117.14,119.61,255,1
236126,122.08,120.49,255,0
238127,120.36,121.36,255,1
240128,122.54,122.24,255,0
242129,122.08,123.11,255,1
244130,124.68,123.99,255,0
246131,121.79,124.86,255,1
248132,126.50,125.74,255,1
250133,124.93,126.62,255,0
252134,127.75,127.49,255,1
254135,128.04,128.37,255,0
256136,127.07,129.24,255,1
258137,132.33,130.12,255,0
260139,128.07,130.99,255,1
262140,133.93,131.87,255,0
264141,130.42,132.74,255,1
266142,133.71,133.62,255,0
268143,132.14,134.50,255,1
270144,136.75,135.37,255,1
272145,134.46,136.25,255,0
274146,137.25,137.12,255,1
276147,135.79,138.00,255,0
278148,138.25,138.87,255,1
280150,140.04,139.75,255,1
282151,136.67,140.62,254,1
284152,142.07,141.50,253,1
286153,137.75,142.37,251,1
288154,143.25,143.25,249,1
290155,140.68,144.13,247,1
292156,145.50,145.00,245,1
294157,142.86,145.88,244,1
296158,147.71,146.75,242,1
298159,141.25,147.63,240,1
300160,148.29,148.50,238,0
302161,145.86,149.38,237,1
304162,150.42,150.25,235,1
306163,146.86,151.13,233,1
308164,154.54,152.00,231,0
310165,148.46,152.88,230,1
312166,151.64,153.76,228,0
314167,154.04,154.63,226,1
316168,152.39,155.51,224,1
318169,157.46,156.38,223,1
320171,151.67,157.26,221,1
322172,157.21,158.13,219,0
324173,154.64,159.01,217,1
326174,159.88,159.88,216,0
328175,157.96,160.76,214,1
330176,159.82,161.63,212,0
332177,159.63,162.51,210,1
334178,162.14,163.39,209,1
336179,161.14,164.26,207,1
338180,165.71,165.14,205,1
340182,163.75,166.01,203,0
342183,166.17,166.89,202,1
344184,167.93,167.76,200,0
346185,164.43,168.64,198,1
348186,169.17,169.51,196,0
350187,167.82,170.39,195,1
352188,167.82,171.26,193,0
354189,169.83,172.14,191,1
356190,172.46,173.02,189,0
358191,170.79,173.89,188,1
360192,173.21,174.77,186,1
362193,173.79,175.64,184,1
364194,176.18,176.52,182,0
366195,176.38,177.39,181,1
368196,178.93,178.27,179,1
370197,172.67,179.14,177,1
372198,178.68,180.02,175,0
374199,176.21,180.89,174,1
376200,180.92,181.77,172,0
378201,180.54,182.65,170,1
380203,176.50,183.52,168,1
382204,186.50,184.40,167,0
384205,181.11,185.27,165,1
386206,177.46,186.15,163,1
388207,186.71,187.02,161,1
390208,186.36,187.90,160,1
392209,187.18,188.77,158,0
394210,185.92,189.65,156,1
396211,179.96,190.52,154,1
398212,191.00,191.40,153,1
400214,192.25,192.28,151,0
402215,188.11,193.15,149,1
404216,179.13,194.03,147,1
406217,188.18,194.90,146,1
408218,195.75,195.78,144,0
410219,202.71,196.65,142,0
412220,191.18,197.53,140,1
414221,190.21,198.40,140,1
416222,190.17,199.28,140,1
418223,201.93,200.16,140,0
420224,201.54,201.03,140,1
422225,193.38,201.91,140,1
424226,201.43,202.78,140,0
426227,200.00,203.66,140,1
428228,197.93,204.53,140,1
430229,200.21,205.41,140,1
432230,205.00,206.28,140,1
434231,205.04,207.16,140,0
436232,215.93,208.03,140,0
438233,198.46,208.91,140,1
440235,193.32,209.78,140,1
442236,202.57,210.66,140,1
444237,207.21,211.54,140,0
446238,215.14,212.41,140,1
448239,204.18,213.29,140,1
450240,207.96,214.16,140,1
452241,218.82,215.04,140,0
454242,209.33,215.91,140,1
456243,217.89,216.79,140,0
458244,211.89,217.66,140,1
460246,221.50,218.54,140,0
462247,210.04,219.42,140,1
464248,213.82,220.29,140,1
466249,217.17,221.17,140,1
468250,220.89,222.04,140,1
470251,217.36,222.92,140,1
472252,221.00,223.79,140,1
474253,213.50,224.67,140,1
476254,218.21,225.54,140,1
478255,223.54,226.42,140,1
480256,227.21,227.29,140,1
482257,219.33,228.17,140,1
484258,221.54,229.05,140,1
486259,226.50,229.92,140,1
488260,230.00,230.80,140,1
490261,226.29,231.67,140,0
492262,224.32,232.55,140,1
494263,229.08,233.42,140,1
496264,229.46,234.30,140,1
498265,230.86,235.17,140,0
500267,230.67,236.05,140,1
502268,234.64,236.92,140,0
504269,231.75,237.80,140,1
506270,233.92,238.68,140,1
508271,237.11,239.55,140,1
510272,235.46,240.43,140,1
512273,239.43,241.30,140,0
514274,238.61,242.18,140,1
516275,229.63,243.05,140,1
518276,234.86,243.93,140,1
520278,239.21,244.80,140,1
522279,246.08,245.68,140,1
524280,236.00,246.56,140,1
526281,235.21,247.43,140,1
528282,238.29,248.31,140,1
530283,239.75,249.18,140,1
532284,241.43,250.06,140,1
534285,249.13,250.93,140,1
536286,248.93,251.81,140,1
538287,249.42,252.68,140,1
540288,248.71,253.56,140,1
542289,249.79,254.43,140,1
544290,249.83,255.31,140,1
546291,251.43,256.19,140,1
548292,252.61,257.06,140,1
550293,257.33,257.94,140,1
552294,252.68,258.81,140,1
554295,255.93,259.69,140,1
556296,258.71,260.56,140,1
558297,259.25,261.44,140,1
560299,253.82,262.31,140,1
562300,252.25,263.19,140,1
564301,254.29,264.06,140,1
566302,257.83,264.94,140,1
568303,258.93,265.82,140,1
570304,261.29,266.69,140,1
572305,261.46,267.57,140,1
574306,261.96,268.44,140,1
576307,263.57,269.32,140,1
578308,265.00,270.19,140,1
580310,266.57,271.07,140,1
582311,267.54,271.94,140,1
584312,267.46,272.82,140,1
586313,269.00,273.69,140,1
588314,268.07,274.57,140,1
590315,269.17,275.45,140,1
592316,270.64,276.32,140,1
594317,270.67,277.20,140,1
596318,271.54,278.07,140,1
598319,270.64,278.95,140,1
600320,270.33,279.82,140,1
602321,271.61,280.70,140,1
604322,273.07,281.57,140,1
606323,273.42,282.45,140,1
608324,273.86,283.32,140,1
610325,274.04,284.20,140,1
612326,275.38,285.08,140,1
614327,278.14,285.95,140,1
616328,273.57,286.83,140,1
618329,270.17,287.70,140,1
620331,272.11,288.58,140,1
622332,270.96,289.45,140,1
624333,270.82,290.33,140,1
626334,271.54,291.20,140,1
628335,274.21,292.08,140,1
630336,272.89,292.95,140,1
632337,273.64,293.83,140,1
634338,275.38,0.00,255,0
636339,261.32,0.00,255,0
638340,228.57,0.00,255,0
640342,203.25,0.00,255,0
642343,186.36,0.00,255,0
644344,171.93,0.00,255,0
646345,161.63,0.00,255,0
648346,148.46,0.00,255,0
650347,140.83,0.00,255,0
652348,133.89,0.00,255,0
654349,126.61,0.00,255,0
656350,119.58,0.00,255,0
658351,113.89,0.00,255,0
660352,109.25,0.00,255,0
662353,103.25,0.00,255,0
664354,100.68,0.00,255,0
666355,98.89,0.00,255,0
668356,92.50,0.00,255,0
670357,87.96,0.00,255,0
672358,82.96,0.00,255,0
674359,79.92,0.00,255,0
676360,77.32,0.00,255,0
678361,75.71,0.00,255,0
680363,72.75,0.00,255,0
682364,71.07,0.00,255,0
684365,70.04,0.00,255,0
686366,68.25,0.00,255,0
688367,67.14,0.00,255,0
690368,63.92,0.00,255,0
692369,61.93,0.00,255,0
694370,60.64,0.00,255,0
696371,59.13,0.00,255,0
698372,58.00,0.00,255,0
700374,57.39,0.00,255,0
702375,56.17,0.00,255,0
704376,55.00,0.00,255,0
706377,53.21,0.00,255,0
708378,52.61,0.00,255,0
710379,52.50,0.00,255,0
712380,51.63,0.00,255,0
714381,51.11,0.00,255,0
716382,50.04,0.00,255,0
718383,49.79,0.00,255,0
720384,50.04,0.00,255,0
722385,49.04,0.00,255,0
724386,47.88,0.00,255,0
726387,47.46,0.00,255,0
728388,47.39,0.00,255,0
730389,47.13,0.00,255,0
732390,46.50,0.00,255,0
734391,46.42,0.00,255,0
736392,45.86,0.00,255,0
738393,45.86,0.00,255,0
740395,45.33,0.00,255,0
742396,45.11,0.00,255,0
744397,44.75,0.00,255,0
746398,44.29,0.00,255,0
748399,44.00,0.00,255,0
750400,44.04,0.00,255,0
752401,44.04,0.00,255,0
754402,43.89,0.00,255,0
756403,43.68,0.00,255,0
758404,43.00,0.00,255,0
760406,42.64,0.00,255,0
762407,42.13,0.00,255,0
764408,42.11,0.00,255,0
766409,42.00,0.00,255,0
768410,41.96,0.00,255,0
770411,41.86,0.00,255,0
772412,41.71,0.00,255,0
774413,41.58,0.00,255,0
776414,41.36,0.00,255,0
778415,41.39,0.00,255,0
780416,41.29,0.00,255,0
782417,41.07,0.00,255,0
784418,41.07,0.00,255,0
786419,41.04,0.00,255,0
788420,40.75,0.00,255,0
790421,40.63,0.00,255,0
792422,40.32,0.00,255,0
794423,40.32,0.00,255,0
796424,39.96,0.00,255,0
798425,40.11,0.00,255,0
800427,40.04,0.00,255,0
802428,39.83,0.00,255,0
804429,39.61,0.00,255,0
806430,39.46,0.00,255,0
808431,38.75,0.00,255,0
810432,38.75,0.00,255,0
812433,38.46,0.00,255,0
814434,38.46,0.00,255,0
816435,38.18,0.00,255,0
818436,38.29,0.00,255,0
